10002,902190,9036,9037
10107,901020,2051,1090200
10115,901010,2001,1090260
10117,901010,10410,1010410
10124,901010,1001,1090070
10131,901010,10750,1010750
10208,902270,10090,1010090
10210,901010,4091,1090390
10213,901010,10880,1010880
10214,901020,4091,1090030
10305,902220,10100,1010100
10311,901020,2061,1090060
10313,902180,11710,1011710
10316,901020,12480,1012480
10504,902100,10140,1010140
10512,902030,10980,1010980
10513,902020,11000,1011000
10514,902020,10160,1010160
10519,902020,11560,1011560
1060001,106180,106010,106170
1060002,106220,106040,106210
1060003,106230,106060,106240
1060004,106350,106070,106360
1060005,106250,106100,106260
1060006,106270,106140,106280
1060007,106300,106120,106290
1060008,106200,106160,106190
1060009,106310,106330,106340
10601,902290,3001,1090280
10602,902060,3001,1090340
10703,902060,10180,1090140
10738,902060,11940,1011940
1080001,108410,108010,108210
1080002,108420,108040,108220
1080003,108440,108090,108240
1080004,108430,108080,108230
1080005,108450,108120,108250
1080006,108460,108150,108260
1080007,108470,108170,108270
1080008,108480,108300,108280
1080009,108490,108320,108290
10802,902070,11670,1011670
1090001,109310,109030,109040
1090002,109320,109070,109080
1090003,109330,109110,109120
1090004,109350,109190,109200
1090005,109340,109150,109160
1090006,109360,109230,109240
1100001,110310,110020,110030
1100002,110320,110040,110060
1100003,110330,110070,110090
1100004,110340,110100,110120
1100005,110350,110140,110150
1100006,110360,110170,110180
1100007,110370,110190,110210
1110001,111200,111020,111030
1110002,111210,111040,111060
1110003,111220,111070,111080
1110004,111230,111100,111110
1110005,111240,111130,111140
1110006,111270,111160,111170
1120001,112040,112010,112020
1120002,112080,112060,112070
20107,901020,4071,1090320
20108,901010,1011,1090250
20112,901020,4071,1090210
20116,902300,11960,1011960
20121,901010,10250,1010250
20123,901010,10580,1010580
20204,901010,12940,1012940
20208,901010,11150,1011150
20211,901020,2081,1090100
20212,901020,10610,1010610
20217,901010,11170,1011170
20304,901020,2061,1090160
20307,901010,10260,1010260
20308,902020,2011,1090310
20403,902150,10290,1010290
20502,902310,10310,1010310,11870,1011870
20505,902020,12160,1012160
20506,902030,10540,1010540
20604,902280,11590,1011590
20605,902160,11900,1011900
20703,902130,10340,1010340
20704,902060,11120,1011120
20706,902120,3021,1090010
29901,901010,19020,1019020
30101,902300,10960,1010960
30105,902070,10730,1010730
30113,901010,1013,1090330
30117,901010,1013,1090080
30118,901010,2051,1090290
30132,901010,2001,1090130
30149,901010,11360,1011360
30201,901010,2011,1090350
30204,901010,2011,1090050
30210,901010,4111,1090170
30212,901010,1091,1090240
30311,901010,2041,1090190
30312,901010,2051,1090380
30313,902170,10600,1010600
30314,901010,11250,1011250
30501,902030,2071,1090180
30603,902060,3041,1090360
30705,902140,10790,1010790
30707,902140,11620,1011620
30801,902070,11370,1011370
30803,902110,11380,1011380
39901,901010,19060,1019060
39902,902260,19080,1019080
40101,901020,10380,1010380
40102,901010,11970,1011970
40118,901010,2081,1090230
40123,901010,10530,1010530
40146,902210,2081,1090120
40201,901010,1032,1090220
40202,901010,2011,1090020
40203,901010,2011,1090400
40204,901010,1052,1090270
40303,902090,10390,1010390
40401,902030,10660,1010660
40402,902030,2101,1090110
40502,902030,10670,1010670
40701,902060,10690,1010690
40703,902060,13880,1013880
40802,902070,11440,1011440
40803,902110,3611,1090040
40806,902070,12400,1012400
40809,902070,13550,1013550
49901,901010,19090,1019090
50202,901010,10480,1010480
50203,901010,10490,1010490
50204,901010,14070,1014070
50205,901010,14090,1014090
60102,901010,12670,1012670
60302,901010,12620,1012620
60502,902030,12600,1012600
60505,902030,12650,1090090
70102,901010,2011,1090420
70104,901010,12990,1012990
70201,901020,10510,1010510
70203,901020,13000,1013000
70501,902030,13050,1013050
70505,902030,13020,1013020
80101,901010,11500,1011500
80103,901010,11700,1011700
80104,901010,12350,1012350
80201,902200,11520,1011520
80801,902070,3521,1090150
89901,901010,19110,1019110
90101,901010,5081,1005080
90111,901010,12320,1012320
90302,901010,13270,1013270
90401,902030,11490,1011490
90501,902020,11540,1011540
960002,902250,17200,1017200
960003,902240,17250,1017250
960004,902230,17160,1017160
960005,902230,17210,1017210
960006,902240,17270,1017270
960007,902250,150580,10150580
960008,902240,150570,10150570
960009,902230,150530,10150530
960010,902240,150640,10150640
960011,902230,150600,10150600
