10002,9036,9037
10107,2051,1090200
10115,2001,1090260
10117,10410,1010410
10124,1001,1090070
10131,10750,1010750
10208,10090,1010090
10210,4091,1090390
10214,4091,1090030
10305,10100,1010100
10311,2061,1090060
10313,11710,1011710
10504,10140,1010140
10512,10980,1010980
10513,11000,1011000
10514,10160,1010160
10519,11560,1011560
1060001,106010,106170
1060002,106040,106210
1060003,106060,106240
1060004,106070,106360
1060005,106100,106260
1060006,106140,106280
1060007,106120,106290
1060008,106160,106190
1060009,106330,106340
10601,3001,1090280
10602,3001,1090340
10703,10180,1090140
10738,11940,1011940
1080001,108010,108210
1080002,108040,108220
1080003,108090,108240
1080004,108080,108230
1080005,108120,108250
1080006,108150,108260
1080007,108170,108270
1080008,108300,108280
1080009,108320,108290
10802,11670,1011670
1090001,109030,109040
1090002,109070,109080
1090003,109110,109120
1090004,109190,109200
1090005,109150,109160
1090006,109230,109240
1100001,110020,110030
1100002,110040,110060
1100003,110070,110090
1100004,110100,110120
1100005,110140,110150
1100006,110170,110180
1100007,110190,110210
1110001,111020,111030
1110002,111040,111060
1110003,111070,111080
1110004,111100,111110
1110005,111130,111140
1110006,111160,111170
20107,4071,1090320
20108,1011,1090250
20112,4071,1090210
20121,10250,1010250
20123,10580,1010580
20204,12940,1012940
20211,2081,1090100
20212,10610,1010610
20217,11170,1011170
20304,2061,1090160
20307,10260,1010260
20308,2011,1090310
20403,10290,1010290
20505,12160,1012160
20506,10540,1010540
20604,11590,1011590
20605,11900,1011900
20703,10340,1010340
20704,11120,1011120
20706,3021,1090010
29901,19020,1019020
30101,10960,1010960
30105,10730,1010730
30113,1013,1090330
30117,1013,1090080
30118,2051,1090290
30132,2001,1090130
30149,11360,1011360
30201,2011,1090350
30204,2011,1090050
30210,4111,1090170
30212,1091,1090240
30311,2041,1090190
30312,2051,1090380
30313,10600,1010600
30501,2071,1090180
30603,3041,1090360
30707,11620,1011620
30801,11370,1011370
30803,11380,1011380
39901,19060,1019060
39902,19080,1019080
40101,10380,1010380
40102,11970,1011970
40118,2081,1090230
40123,10530,1010530
40146,2081,1090120
40201,1032,1090220
40202,2011,1090020
40203,2011,1090400
40204,1052,1090270
40303,10390,1010390
40401,10660,1010660
40402,2101,1090110
40502,10670,1010670
40701,10690,1010690
40802,11440,1011440
40803,3611,1090040
40809,13550,1013550
49901,19090,1019090
50202,10480,1010480
50203,10490,1010490
50204,14070,1014070
50205,14090,1014090
60102,12670,1012670
60302,12620,1012620
60502,12600,1012600
60505,12650,1090090
70104,12990,1012990
70201,10510,1010510
70203,13000,1013000
70505,13020,1013020
80101,11500,1011500
80103,11700,1011700
80104,12350,1012350
80201,11520,1011520
80801,3521,1090150
89901,19110,1019110
90101,5081,1005080
90111,12320,1012320
90302,13270,1013270
90401,11490,1011490
90501,11540,1011540
960002,17200,1017200
960003,17250,1017250
960004,17160,1017160
960005,17210,1017210
960006,17270,1017270
960007,150580,10150580
960008,150570,10150570
960009,150530,10150530
960010,150640,10150640
960011,150600,10150600
